date,city,cid,industry,platform,number,amount
202304,桃園市,H,產業用機械設備維修及安裝業,無載具,290,325371492
202502,南投縣,M,農、牧業,使用載具,2235,1295995
202502,花蓮縣,U,不動產開發業,無載具,304,2902934
202502,高雄市,E,專門設計業,使用載具,3451,5919956
202502,新竹縣,J,運輸輔助業,使用載具,239334,19870300
202304,澎湖縣,X,教育業,無載具,152,1260548
202304,花蓮縣,U,零售業,無載具,3058401,1165021862
202502,臺北市,A,未分類其他服務業,使用載具,122424,499958189
202304,臺中市,B,住宿業,無載具,157131,455026202
202304,苗栗縣,K,資訊服務業,使用載具,349,34733
202502,臺南市,D,電子零組件製造業,無載具,167,111309386
202502,嘉義縣,Q,餐飲業,使用載具,374186,87020078
202304,嘉義市,I,廣播、電視節目編排及傳播業,使用載具,7960,12161894
202304,宜蘭縣,G,住宿業,使用載具,19418,63117973
202502,澎湖縣,X,不動產經營及相關服務業,無載具,74,7260
202502,新竹縣,J,橡膠製品製造業,無載具,130,106379964
202502,臺北市,A,餐飲業,無載具,8730800,4212615352
202304,苗栗縣,K,污染整治業,無載具,2,8000
202304,臺南市,D,廣告業及市場研究業,使用載具,7896,13993960
202304,臺東縣,V,不動產開發業,無載具,197,9725929
202304,臺南市,D,宗教、職業及類似組織,使用載具,439,111559
202304,高雄市,E,水上運輸業,無載具,1195,1916146
202304,花蓮縣,U,創作及藝術表演業,使用載具,769,24770
202502,新竹市,O,專門營造業,無載具,560,80517774
202502,臺南市,D,未分類其他服務業,使用載具,6210,20812172
202304,新北市,F,電腦程式設計、諮詢及相關服務業,無載具,6782,216130170
202502,臺南市,D,塑膠製品製造業,使用載具,403,234049
202304,澎湖縣,X,運輸輔助業,使用載具,1448,37980
202304,嘉義市,I,餐飲業,無載具,1185431,301439662
202304,基隆市,C,電腦、電子產品及光學製品製造業,無載具,4,12600
202304,高雄市,E,電信業,使用載具,1758044,1084740570
202502,宜蘭縣,G,不動產經營及相關服務業,無載具,932,445005
